Id,Attrition
1,0.060113776
2,0.043449761
3,0.48885804
4,0.25387777
5,0.008295747
6,0.039433839
7,0.348237179
8,0.7197223
9,0.7006954
10,0.075810227
11,0.007651384
12,0.237945979
13,0.038666308
14,0.148375398
15,0.034595563
16,0.250326167
17,0.84672524
18,0.556704055
19,0.01998864
20,0.01039028
21,0.047159053
22,0.979731718
23,0.081337974
24,0.066124171
25,0.196650091
26,0.077936624
27,0.037755817
28,0.02405615
29,0.88692911
30,0.437939439
31,0.019715328
32,0.170625638
33,0.448201538
34,0.647117509
35,0.016009828
36,0.127116327
37,0.001682916
38,0.017935741
39,0.641153482
40,0.63313573
41,0.944485674
42,0.721235358
43,0.000639553
44,0.016713843
45,0.004500431
46,0.118935313
47,0.183262589
48,0.031370281
49,0.007267454
50,0.748482451
51,0.472012221
52,0.336928812
53,0.721877632
54,0.565305594
55,0.403953729
56,0.517218403
57,0.138078771
58,0.833853291
59,0.012547273
60,0.083807006
61,0.026388155
62,0.262405154
63,0.843530584
64,0.186552829
65,0.077951243
66,0.004797234
67,0.050196468
68,0.301937504
69,0.398338059
70,0.192099266
71,0.26199463
72,0.099196314
73,0.390359525
74,0.107586806
75,0.382770697
76,0.874764226
77,0.118820677
78,0.340596815
79,0.168821905
80,0.169684869
81,0.062051631
82,0.374517441
83,0.326086239
84,1.54622E-05
85,0.286404069
86,0.000354078
87,0.314207367
88,0.242948132
89,0.190896577
90,0.076995383
91,0.714719847
92,0.001436214
93,0.406958389
94,0.281881141
95,0.84913026
96,0.856329049
97,0.419036673
98,0.103341967
99,0.017811681
100,0.256384201
101,0.411592947
102,0.013893302
103,0.10981249
104,0.177145021
105,0.426147527
106,0.441715073
107,0.272738953
108,0.324570957
109,0.056466604
110,0.000134197
111,0.269757792
112,0.086748274
113,0.319415611
114,0.056075507
115,0.011739
116,0.000858437
117,0.035537503
118,0.037601501
119,0.311725981
120,0.068260167
121,0.609451128
122,0.114274267
123,0.434647793
124,0.823753954
125,0.882787452
126,0.047018644
127,0.184277097
128,0.84621064
129,0.863917516
130,0.12299208
131,0.307153718
132,0.008663816
133,0.041733017
134,0.576595023
135,0.017881576
136,0.065023485
137,0.985036574
138,0.135738627
139,0.750861632
140,0.019526505
141,0.246357311
142,0.004958162
